#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-19T19:16:36 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-19T19:16:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RAICRS&-out=DEICRS&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&HIPep=HIPep&Erratum=Erratum&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;HIP;RAhms;DEdms;Vmag;RAICRS;DEICRS;Plx;pmRA;pmDE;e_Plx;B-V;Notes;_RA.icrs;_DE.icrs
000.0630459348;+23.5292281158;    20;00 00 15.11;+23 31 45.4; 8.51;000.06295050;+23.52928397;  10.76;   36.00;  -22.98;  1.06; 0.516; ;000.06304593;+23.52922812
000.0663875981;+08.0072338353;    21;00 00 15.90;+08 00 26.0; 7.55;000.06623569;+08.00723437;   5.84;   61.89;   -0.22;  0.95; 1.438; ;000.06638760;+08.00723384
000.0701064532;-49.3522657419;    22;00 00 16.83;-49 21 08.2; 8.69;000.07013593;-49.35226686;   4.47;   -7.90;    0.46;  1.15; 0.962; ;000.07010645;-49.35226574
000.0745645488;+13.3122342848;    23;00 00 17.86;+13 18 44.0; 7.57;000.07442930;+13.31221083;  12.21;   54.15;    9.65;  0.95; 0.456; ;000.07456455;+13.31223428
000.0763866647;-23.4526951227;    24;00 00 18.25;-23 27 09.9; 9.05;000.07604979;-23.45274913;   9.73;  127.15;   22.22;  1.21; 0.528; ;000.07638666;-23.45269512
000.0795635338;-44.2905614654;    25;00 00 19.05;-44 17 25.1; 6.28;000.07936537;-44.29029741;  13.74;   58.36; -108.64;  0.98; 0.763; ;000.07956353;-44.29056147
000.0840876191;-13.3933779189;    26;00 00 20.24;-13 23 35.9; 9.13;000.08434579;-13.39329686;   9.19; -103.33;  -33.35;  1.34; 0.535; ;000.08408762;-13.39337792
000.0859096150;-41.2978132404;    27;00 00 20.51;-41 17 51.1; 9.32;000.08546976;-41.29753696;   9.66;  135.96; -113.67;  1.38; 0.671; ;000.08590961;-41.29781324
000.0872120694;-43.3618207415;    28;00 00 20.94;-43 21 42.5; 8.83;000.08724871;-43.36179962;   5.64;  -10.96;   -8.69;  1.05; 0.468; ;000.08721207;-43.36182074
000.0922307868;-49.1079452062;    29;00 00 22.11;-49 06 28.6; 9.14;000.09213106;-49.10795505;   2.85;   26.86;    4.05;  1.40; 1.041; ;000.09223079;-49.10794521
000.0961079642;+42.1414741742;    30;00 00 23.07;+42 08 29.4; 8.26;000.09613563;+42.14149882;   3.79;   -8.44;  -10.14;  0.88; 0.142; ;000.09610796;+42.14147417
000.0980820259;+02.6754771939;    31;00 00 23.54;+02 40 31.7; 7.63;000.09809390;+02.67547768;   1.84;   -4.88;   -0.20;  1.05; 1.453; ;000.09808203;+02.67547719
000.0985822124;+51.9394871458;    32;00 00 23.66;+51 56 22.2; 9.09;000.09858375;+51.93949050;   3.10;   -0.39;   -1.38;  1.29; 0.040; ;000.09858221;+51.93948715
000.0991718826;-10.4623846687;    33;00 00 23.80;-10 27 44.8; 8.10;000.09918083;-10.46245445;   8.94;   -3.62;   28.71;  1.09; 0.466; ;000.09917188;-10.46238467
000.0995847627;+26.9181082481;    34;00 00 23.87;+26 55 05.7; 6.43;000.09946973;+26.91823821;  12.71;   42.20;  -53.47;  0.74; 0.514; ;000.09958476;+26.91810825
000.1029678346;-14.4904842926;    35;00 00 24.61;-14 29 25.7; 9.07;000.10256052;-14.49048072;   5.96;  162.25;   -1.47;  1.45; 0.916; ;000.10296783;-14.49048429
000.1033991460;+12.2671277140;    36;00 00 24.79;+12 16 01.5; 7.68;000.10327550;+12.26709303;   6.30;   49.71;   14.27;  0.96; 1.150; ;000.10339915;+12.26712771
000.1053271547;-47.1795667332;    37;00 00 25.28;-47 10 46.5;10.44;000.10535190;-47.17958382;   3.74;   -6.92;    7.03;  2.72; 0.391; ;000.10532715;-47.17956673
000.1131259150;-79.0619829896;    38;00 00 26.65;-79 03 42.6; 8.65;000.11104694;-79.06183133;  23.84;  162.30;  -62.40;  0.78; 0.778; ;000.11312591;-79.06198299
000.1122921521;-16.6970092898;    39;00 00 26.85;-16 41 48.9; 7.46;000.11186148;-16.69693020;  10.98;  169.72;  -32.54;  1.18; 0.475; ;000.11229215;-16.69700929
000.1165709244;+54.3022365976;    41;00 00 27.98;+54 18 08.1; 8.70;000.11656351;+54.30223774;   3.42;    1.78;   -0.47;  1.04; 0.026; ;000.11657092;+54.30223660
000.1219509432;+67.2167835208;    40;00 00 29.27;+67 13 00.4;10.61;000.12196971;+67.21679125;  -3.40;   -2.99;   -3.18;  4.25; 0.570; ;000.12195094;+67.21678352
000.1254425641;+25.8447647671;    42;00 00 30.09;+25 50 41.2; 8.20;000.12538666;+25.84478059;   6.38;   20.70;   -6.51;  0.91; 0.387; ;000.12544256;+25.84476477
000.1287023299;+59.5596793560;    43;00 00 30.98;+59 33 35.1; 6.18;000.12908900;+59.55973786;   7.63;  -80.60;  -24.07;  0.60; 1.032; ;000.12870233;+59.55967936
000.1327493241;-03.3063227539;    44;00 00 31.85;-03 18 22.9; 7.91;000.13272230;-03.30636174;   2.41;   11.10;   16.04;  1.01; 1.104; ;000.13274932;-03.30632275
000.1339087125;-72.2027170667;    45;00 00 32.21;-72 12 09.8; 9.59;000.13420453;-72.20271031;  15.10;  -37.20;   -2.78;  1.92;      ; ;000.13390871;-72.20271707
000.1345851827;-25.6222853151;    46;00 00 32.29;-25 37 20.1; 8.57;000.13454429;-25.62225277;   1.19;   15.17;  -13.39;  1.20; 1.035; ;000.13458518;-25.62228532
000.1349959315;-56.8356023479;    47;00 00 32.45;-56 50 06.9;10.78;000.13519236;-56.83524773;  24.45;  -44.21; -145.90;  1.97; 1.150; ;000.13499593;-56.83560235
000.1352357185;-40.6904740567;    48;00 00 32.45;-40 41 25.6; 7.31;000.13522264;-40.69044664;   1.86;    4.08;  -11.28;  0.87; 1.164; ;000.13523572;-40.69047406
000.1395683011;+16.6690487224;    49;00 00 33.48;+16 40 08.5; 9.53;000.13950066;+16.66903183;   1.59;   26.66;    6.95;  1.28; 0.450; ;000.13956830;+16.66904872
000.1430850464;-53.0977126448;    50;00 00 34.29;-53 05 51.6; 6.49;000.14287059;-53.09766277;  16.89;   52.98;  -20.52;  0.80; 0.616; ;000.14308505;-53.09771264
000.1434152117;+01.0662126454;    51;00 00 34.41;+01 03 58.3; 8.94;000.14339044;+01.06619726;   0.41;   10.19;    6.33;  1.30; 0.906; ;000.14341521;+01.06621265
000.1468910146;-77.0201164131;    52;00 00 35.20;-77 01 12.5; 8.56;000.14665879;-77.02014050;   3.95;   21.46;    9.91;  0.77; 0.196; ;000.14689101;-77.02011641
000.1474234962;-29.2634139700;    53;00 00 35.37;-29 15 48.2;10.96;000.14739023;-29.26338247;  -1.76;   11.94;  -12.96;  2.45;      ; ;000.14742350;-29.26341397
000.1525936914;+17.9689084162;    54;00 00 36.40;+17 58 08.2;10.57;000.15165558;+17.96895579;  20.97;  367.14;  -19.49;  1.71; 1.030; ;000.15259369;+17.96890842
000.1588334161;-66.6831734054;    55;00 00 37.88;-66 40 59.2; 7.40;000.15783323;-66.68310336;  14.66;  162.88;  -28.82;  0.98; 0.551; ;000.15883342;-66.68317341
000.1629265910;+00.2229314796;    56;00 00 39.08;+00 13 22.6; 8.12;000.16283175;+00.22293899;   3.47;   39.02;   -3.09;  1.27; 1.329; ;000.16292659;+00.22293148
000.1679988682;-69.6759649610;    57;00 00 40.39;-69 40 32.9; 8.27;000.16828557;-69.67580068;  33.89;  -40.97;  -67.59;  0.79; 0.863; ;000.16799887;-69.67596496
000.1735189270;+62.1758981384;    58;00 00 41.70;+62 10 33.6; 7.05;000.17376341;+62.17600484;  26.06;  -46.95;  -43.90;  0.67; 0.520; ;000.17351893;+62.17589814
000.1744463248;+55.7224601908;    59;00 00 41.87;+55 43 20.9; 9.09;000.17444749;+55.72246267;  -0.06;   -0.27;   -1.02;  1.38; 0.091; ;000.17444632;+55.72246019
000.1754330477;-64.4657990558;    60;00 00 42.10;-64 27 57.0; 8.34;000.17542318;-64.46582516;   6.18;    1.75;   10.74;  0.83; 0.386; ;000.17543305;-64.46579906
000.1762918211;+53.8221456596;    61;00 00 42.28;+53 49 19.9; 8.86;000.17615726;+53.82218625;   5.60;   32.68;  -16.70;  1.11; 1.081; ;000.17629182;+53.82214566
000.1799751511;-45.4227389281;    62;00 00 43.19;-45 25 21.8; 8.27;000.17996123;-45.42272731;   5.28;    4.02;   -4.78;  1.15; 0.994; ;000.17997515;-45.42273893
000.1818095066;+45.2533335847;    63;00 00 43.62;+45 15 12.0; 6.36;000.18174950;+45.25333305;   4.81;   17.38;    0.22;  0.71;-0.047;P;000.18180951;+45.25333358
000.1845726200;-27.9075816018;    64;00 00 44.30;-27 54 27.2; 8.08;000.18458893;-27.90754614;   3.45;   -5.93;  -14.59;  0.94; 1.156; ;000.18457262;-27.90758160
000.1871096831;-54.8305236850;    65;00 00 45.11;-54 49 49.2;11.00;000.18797532;-54.83034057;  16.98; -205.14;  -75.34;  2.43; 1.147; ;000.18710968;-54.83052368
000.1884242533;-72.3182202550;    66;00 00 45.25;-72 19 05.7; 8.55;000.18854917;-72.31824913;   8.18;  -15.61;   11.88;  0.88; 0.401; ;000.18842425;-72.31822025
000.1993427070;+23.5382187125;    67;00 00 47.78;+23 32 17.7; 7.83;000.19910132;+23.53824873;   7.48;   91.05;  -12.35;  0.93; 0.495; ;000.19934271;+23.53821871
000.2003829227;+16.9881971773;    68;00 00 48.15;+16 59 20.3; 8.79;000.20063628;+16.98896499;  31.80;  -99.69; -315.90;  1.17; 0.940; ;000.20038292;+16.98819718
000.2014181885;+30.3958896703;    69;00 00 48.33;+30 23 45.2; 8.33;000.20137175;+30.39589283;   6.35;   16.48;   -1.30;  1.12; 0.135; ;000.20141819;+30.39588967
000.2026581845;+36.7776373110;    70;00 00 48.67;+36 46 39.5;10.42;000.20280014;+36.77763945;   5.25;  -46.78;   -0.88; 13.87; 0.706; ;000.20265818;+36.77763731
000.2070254615;+36.7801059571;    71;00 00 49.70;+36 46 48.6; 8.26;000.20709981;+36.78015328;   9.13;  -24.50;  -19.47;  1.84; 0.846; ;000.20702546;+36.78010596
000.2199319023;-12.8289609656;    72;00 00 52.67;-12 49 43.2; 8.97;000.21946989;-12.82867015;  10.63;  185.34; -119.65;  1.25; 0.671; ;000.21993190;-12.82896097
000.2203287297;+66.8480110818;    73;00 00 52.91;+66 50 52.7; 6.90;000.22045719;+66.84796687;   3.97;  -20.78;   18.19;  0.69; 1.446; ;000.22032873;+66.84801108
000.2223452058;+35.7526241534;    74;00 00 53.25;+35 45 09.8; 9.93;000.22187281;+35.75272213;  24.22;  157.73;  -40.31;  1.36; 1.068; ;000.22234521;+35.75262415
000.2232728863;-50.4464587777;    75;00 00 53.56;-50 26 47.3; 7.42;000.22316216;-50.44646500;   1.60;   29.01;    2.56;  0.79; 1.524; ;000.22327289;-50.44645878
000.2282138630;+32.8256539818;    76;00 00 54.77;+32 49 32.4; 9.03;000.22821959;+32.82567452;   2.29;   -1.98;   -8.45;  1.19; 1.670; ;000.22821386;+32.82565398
000.2305745718;-30.0641664515;    77;00 00 55.33;-30 03 51.0; 8.41;000.23052169;-30.06417333;   3.53;   18.83;    2.83;  1.12; 0.022; ;000.23057457;-30.06416645
000.2323117676;+17.8678508744;    78;00 00 55.76;+17 52 04.2; 8.06;000.23231307;+17.86784193;   1.17;   -0.51;    3.68;  0.96; 1.203; ;000.23231177;+17.86785087
000.2357718602;+35.3167202940;    79;00 00 56.57;+35 19 00.3; 8.69;000.23572286;+35.31675386;   4.57;   16.45;  -13.81;  0.99; 0.529; ;000.23577186;+35.31672029
000.2428327384;-11.8237385410;    80;00 00 58.03;-11 49 24.7; 8.40;000.24179216;-11.82353722;  15.59;  419.04;  -82.83;  1.43; 0.566; ;000.24283274;-11.82373854
000.2434138377;-04.9325343939;    81;00 00 58.53;-04 55 55.6; 8.57;000.24386443;-04.93211471;  23.43; -184.70; -172.67;  1.28; 0.642; ;000.24341384;-04.93253439
000.2480168522;-10.9359635319;    82;00 00 59.53;-10 56 08.9; 9.50;000.24803173;-10.93580540;   1.82;   -6.01;  -65.06;  1.37; 1.107; ;000.24801685;-10.93596353
000.2480726945;+52.0805620337;    83;00 00 59.54;+52 04 50.0; 8.85;000.24808100;+52.08056444;   2.28;   -2.10;   -0.99;  1.30; 1.726; ;000.24807269;+52.08056203
000.2524274552;+27.8863304078;    84;00 01 00.43;+27 53 10.8; 9.61;000.25180722;+27.88634368;  18.90;  225.55;   -5.46;  1.33; 0.852; ;000.25242746;+27.88633041
000.2561370144;-24.7140478290;    85;00 01 01.44;-24 42 50.6;10.62;000.25600730;-24.71404902;   3.90;   48.48;    0.49;  2.06; 0.359; ;000.25613701;-24.71404783
000.2604630307;+69.6035047896;    86;00 01 02.49;+69 36 12.6; 8.05;000.26038262;+69.60349830;   3.47;   11.53;    2.67;  0.78; 0.018; ;000.26046303;+69.60350479
000.2614964296;-05.8350022074;    87;00 01 02.76;-05 50 05.9; 7.80;000.26151556;-05.83497569;   4.52;   -7.83;  -10.91;  1.08; 0.430; ;000.26149643;-05.83500221
000.2690934424;-48.8098755962;    88;00 01 04.60;-48 48 35.5; 5.71;000.26915958;-48.80985919;   5.97;  -17.92;   -6.75;  0.70; 0.911; ;000.26909344;-48.80987560
000.2771545370;+53.1669426029;    89;00 01 06.52;+53 10 01.0; 7.87;000.27715178;+53.16694253;   2.60;    0.68;    0.03;  0.96; 1.566; ;000.27715454;+53.16694260
000.2800818283;-41.8875439075;    90;00 01 07.20;-41 53 14.7; 7.64;000.27999988;-41.88742972;   9.35;   25.10;  -46.98;  0.92; 0.500; ;000.28008183;-41.88754391
000.2805308174;-05.8743477321;    91;00 01 07.34;-05 52 27.6; 7.66;000.28056847;-05.87433293;   4.21;  -15.41;   -6.09;  1.23; 1.300; ;000.28053082;-05.87434773
000.2906966016;-20.7055496571;    92;00 01 09.75;-20 42 20.1; 8.68;000.29062512;-20.70558648;   4.77;   27.51;   15.15;  1.44; 0.944; ;000.29069660;-20.70554966
000.2923560848;-00.0760984511;    93;00 01 10.13;-00 04 33.3; 8.12;000.29222255;-00.07592034;  16.74;   54.94;  -73.28;  1.28; 0.619; ;000.29235608;-00.07609845
000.2949984531;-32.7568365337;    94;00 01 10.76;-32 45 24.5;10.10;000.29485302;-32.75680569;  10.48;   50.32;  -12.69;  1.48; 0.644; ;000.29499845;-32.75683653
000.3020141338;-11.9640335701;    95;00 01 12.49;-11 57 50.4; 8.67;000.30203883;-11.96400015;   7.85;   -9.94;  -13.75;  1.17; 0.513; ;000.30201413;-11.96403357
000.3049451416;+13.9750881003;    96;00 01 13.17;+13 58 29.1;10.46;000.30489357;+13.97474826;  19.83;   20.59;  139.82;  5.16; 1.360;P;000.30494514;+13.97508810
000.3071697082;-52.7985754081;    98;00 01 13.72;-52 47 54.9; 9.87;000.30717811;-52.79857954;   6.49;   -2.09;    1.70;  1.44; 0.551; ;000.30716971;-52.79857541
000.3073814986;-21.4040423290;    97;00 01 13.76;-21 24 14.6; 9.48;000.30733362;-21.40404527;   5.52;   18.34;    1.21;  1.74; 0.530; ;000.30738150;-21.40404233
000.3160632268;+60.3552822057;    99;00 01 15.84;+60 21 19.1; 7.04;000.31601620;+60.35529798;   1.27;    9.57;   -6.49;  0.70; 2.835; ;000.31606323;+60.35528221
000.3163760569;+19.7412432230;   100;00 01 15.95;+19 44 28.7; 8.44;000.31645128;+19.74131648;   4.49;  -29.13;  -30.14;  1.08; 0.898; ;000.31637606;+19.74124322
000.3197097992;-47.7938314469;   101;00 01 16.74;-47 47 37.8; 9.88;000.31976150;-47.79382994;   7.35;  -14.29;   -0.62;  1.74; 0.509; ;000.31970980;-47.79383145
000.3204875805;-41.4874373910;   102;00 01 16.90;-41 29 14.5; 7.05;000.32043200;-41.48735570;   3.00;   17.13;  -33.61;  0.82; 1.550; ;000.32048758;-41.48743739
000.3220750212;-68.3711274828;   103;00 01 17.31;-68 22 15.7; 8.29;000.32214393;-68.37102958;   9.15;  -10.45;  -40.28;  0.76; 0.538; ;000.32207502;-68.37112748
000.3266243146;-31.8996185345;   104;00 01 18.42;-31 53 58.6; 9.34;000.32673657;-31.89961642;   8.16;  -39.21;   -0.87;  1.21; 0.543; ;000.32662431;-31.89961853
000.3278079299;+70.9289378451;   105;00 01 18.68;+70 55 44.2; 7.73;000.32784438;+70.92895780;   4.44;   -4.90;   -8.21;  0.75; 0.455; ;000.32780793;+70.92893785
000.3302148739;+49.9815578121;   106;00 01 19.24;+49 58 53.7; 6.22;000.33016464;+49.98158501;   4.50;   13.29;  -11.19;  0.73; 0.970; ;000.33021487;+49.98155781
